fecha,sku,tienda,cantidad_vendida
2024-12-15,HM000001,TIENDA001,4.33
2024-12-22,HM000001,TIENDA001,1.69
2024-12-29,HM000001,TIENDA001,0.0
2024-01-07,HM000001,TIENDA002,3.9
2024-01-14,HM000001,TIENDA002,2.21
2024-01-21,HM000001,TIENDA002,1.55
2024-01-28,HM000001,TIENDA002,1.44
2024-02-04,HM000001,TIENDA002,0.53
2024-02-11,HM000001,TIENDA002,3.65
2024-02-18,HM000001,TIENDA002,1.98
2024-02-25,HM000001,TIENDA002,0.57
2024-03-03,HM000001,TIENDA002,2.37
2024-03-10,HM000001,TIENDA002,3.91
2024-03-17,HM000001,TIENDA002,2.58
2024-03-24,HM000001,TIENDA002,1.04
2024-03-31,HM000001,TIENDA002,0.22
2024-04-07,HM000001,TIENDA002,0.48
2024-04-14,HM000001,TIENDA002,0.0
2024-04-21,HM000001,TIENDA002,1.61
2024-04-28,HM000001,TIENDA002,1.35
2024-05-05,HM000001,TIENDA002,0.95
2024-05-12,HM000001,TIENDA002,1.33
2024-05-19,HM000001,TIENDA002,2.56
2024-05-26,HM000001,TIENDA002,1.0
2024-06-02,HM000001,TIENDA002,0.0
2024-06-09,HM000001,TIENDA002,2.14
2024-06-16,HM000001,TIENDA002,1.77
2024-06-23,HM000001,TIENDA002,2.47
2024-06-30,HM000001,TIENDA002,1.52
2024-07-07,HM000001,TIENDA002,0.07
2024-07-14,HM000001,TIENDA002,1.24
2024-07-21,HM000001,TIENDA002,1.51
2024-07-28,HM000001,TIENDA002,3.5
2024-08-04,HM000001,TIENDA002,1.9
2024-08-11,HM000001,TIENDA002,2.27
2024-08-18,HM000001,TIENDA002,0.25
2024-08-25,HM000001,TIENDA002,1.66
2024-09-01,HM000001,TIENDA002,0.0
2024-09-08,HM000001,TIENDA002,0.85
2024-09-15,HM000001,TIENDA002,1.17
2024-09-22,HM000001,TIENDA002,4.0
2024-09-29,HM000001,TIENDA002,0.56
2024-10-06,HM000001,TIENDA002,1.34
2024-10-13,HM000001,TIENDA002,0.92
2024-10-20,HM000001,TIENDA002,1.31
2024-10-27,HM000001,TIENDA002,1.47
2024-11-03,HM000001,TIENDA002,0.8
2024-11-10,HM000001,TIENDA002,2.23
2024-11-17,HM000001,TIENDA002,2.77
2024-11-24,HM000001,TIENDA002,1.13
2024-12-01,HM000001,TIENDA002,1.93
2024-12-08,HM000001,TIENDA002,1.84
2024-12-15,HM000001,TIENDA002,3.11
2024-12-22,HM000001,TIENDA002,1.33
2024-12-29,HM000001,TIENDA002,3.29
2024-01-07,HM000001,TIENDA003,1.1
2024-01-14,HM000001,TIENDA003,2.63
2024-01-21,HM000001,TIENDA003,1.32
2024-01-28,HM000001,TIENDA003,3.1
2024-02-04,HM000001,TIENDA003,1.1
2024-02-11,HM000001,TIENDA003,4.14
2024-02-18,HM000001,TIENDA003,3.04
2024-02-25,HM000001,TIENDA003,2.17
2024-03-03,HM000001,TIENDA003,1.46
2024-03-10,HM000001,TIENDA003,1.19
2024-03-17,HM000001,TIENDA003,1.27
2024-03-24,HM000001,TIENDA003,2.53
2024-03-31,HM000001,TIENDA003,2.54
2024-04-07,HM000001,TIENDA003,1.64
2024-04-14,HM000001,TIENDA003,2.29
2024-04-21,HM000001,TIENDA003,1.35
2024-04-28,HM000001,TIENDA003,1.6
2024-05-05,HM000001,TIENDA003,2.32
2024-05-12,HM000001,TIENDA003,3.13
2024-05-19,HM000001,TIENDA003,1.04
2024-05-26,HM000001,TIENDA003,1.96
2024-06-02,HM000001,TIENDA003,1.67
2024-06-09,HM000001,TIENDA003,1.19
2024-06-16,HM000001,TIENDA003,4.82
2024-06-23,HM000001,TIENDA003,3.07
2024-06-30,HM000001,TIENDA003,1.2
2024-07-07,HM000001,TIENDA003,2.65
2024-07-14,HM000001,TIENDA003,1.17
2024-07-21,HM000001,TIENDA003,0.0
2024-07-28,HM000001,TIENDA003,0.0
2024-08-04,HM000001,TIENDA003,1.65
2024-08-11,HM000001,TIENDA003,1.38
2024-08-18,HM000001,TIENDA003,2.77
2024-08-25,HM000001,TIENDA003,0.0
2024-09-01,HM000001,TIENDA003,1.99
2024-09-08,HM000001,TIENDA003,2.43
2024-09-15,HM000001,TIENDA003,3.67
2024-09-22,HM000001,TIENDA003,2.36
2024-09-29,HM000001,TIENDA003,0.53
2024-10-06,HM000001,TIENDA003,0.98
2024-10-13,HM000001,TIENDA003,0.0
2024-10-20,HM000001,TIENDA003,2.31
2024-10-27,HM000001,TIENDA003,1.0
2024-11-03,HM000001,TIENDA003,1.68
2024-11-10,HM000001,TIENDA003,1.58
2024-11-17,HM000001,TIENDA003,2.45
2024-11-24,HM000001,TIENDA003,0.24
2024-12-01,HM000001,TIENDA003,0.29
2024-12-08,HM000001,TIENDA003,0.26
2024-12-15,HM000001,TIENDA003,1.57
2024-12-22,HM000001,TIENDA003,0.0
2024-12-29,HM000001,TIENDA003,0.72
2024-01-07,HM000001,TIENDA004,2.42
2024-01-14,HM000001,TIENDA004,1.6
2024-01-21,HM000001,TIENDA004,1.94
2024-01-28,HM000001,TIENDA004,1.75
2024-02-04,HM000001,TIENDA004,0.0
2024-02-11,HM000001,TIENDA004,1.89
2024-02-18,HM000001,TIENDA004,0.0
2024-02-25,HM000001,TIENDA004,1.68
2024-03-03,HM000001,TIENDA004,0.56
2024-03-10,HM000001,TIENDA004,1.92
2024-03-17,HM000001,TIENDA004,2.28
2024-03-24,HM000001,TIENDA004,1.68
2024-03-31,HM000001,TIENDA004,2.78
2024-04-07,HM000001,TIENDA004,2.38
2024-04-14,HM000001,TIENDA004,2.27
2024-04-21,HM000001,TIENDA004,0.0
2024-04-28,HM000001,TIENDA004,3.34
2024-05-05,HM000001,TIENDA004,0.85
2024-05-12,HM000001,TIENDA004,1.54
2024-05-19,HM000001,TIENDA004,2.61
2024-05-26,HM000001,TIENDA004,1.91
2024-06-02,HM000001,TIENDA004,1.57
2024-06-09,HM000001,TIENDA004,3.41
2024-06-16,HM000001,TIENDA004,2.82
2024-06-23,HM000001,TIENDA004,0.0
2024-06-30,HM000001,TIENDA004,0.0
2024-07-07,HM000001,TIENDA004,1.85
2024-07-14,HM000001,TIENDA004,2.08
2024-07-21,HM000001,TIENDA004,0.44
2024-07-28,HM000001,TIENDA004,0.3
2024-08-04,HM000001,TIENDA004,1.15
2024-08-11,HM000001,TIENDA004,1.39
2024-08-18,HM000001,TIENDA004,2.03
2024-08-25,HM000001,TIENDA004,2.07
2024-09-01,HM000001,TIENDA004,1.84
2024-09-08,HM000001,TIENDA004,2.04
2024-09-15,HM000001,TIENDA004,2.01
2024-09-22,HM000001,TIENDA004,0.24
2024-09-29,HM000001,TIENDA004,2.57
2024-10-06,HM000001,TIENDA004,0.69
2024-10-13,HM000001,TIENDA004,1.03
2024-10-20,HM000001,TIENDA004,1.73
2024-10-27,HM000001,TIENDA004,2.0
2024-11-03,HM000001,TIENDA004,0.0
2024-11-10,HM000001,TIENDA004,3.03
2024-11-17,HM000001,TIENDA004,1.7
2024-11-24,HM000001,TIENDA004,1.3
2024-12-01,HM000001,TIENDA004,1.42
2024-12-08,HM000001,TIENDA004,1.6
2024-12-15,HM000001,TIENDA004,0.99
2024-12-22,HM000001,TIENDA004,4.17
2024-12-29,HM000001,TIENDA004,1.29
2024-01-07,HM000001,TIENDA005,1.84
2024-01-14,HM000001,TIENDA005,4.59
2024-01-21,HM000001,TIENDA005,0.93
2024-01-28,HM000001,TIENDA005,2.89
2024-02-04,HM000001,TIENDA005,1.84
2024-02-11,HM000001,TIENDA005,0.95
2024-02-18,HM000001,TIENDA005,1.21
2024-02-25,HM000001,TIENDA005,1.5
2024-03-03,HM000001,TIENDA005,2.4
2024-03-10,HM000001,TIENDA005,0.32
2024-03-17,HM000001,TIENDA005,1.93
2024-03-24,HM000001,TIENDA005,2.18
2024-03-31,HM000001,TIENDA005,2.3
2024-04-07,HM000001,TIENDA005,1.08
2024-04-14,HM000001,TIENDA005,2.7
2024-04-21,HM000001,TIENDA005,0.76
2024-04-28,HM000001,TIENDA005,2.09
2024-05-05,HM000001,TIENDA005,1.27
2024-05-12,HM000001,TIENDA005,1.85
2024-05-19,HM000001,TIENDA005,1.12
2024-05-26,HM000001,TIENDA005,2.04
2024-06-02,HM000001,TIENDA005,0.24
2024-06-09,HM000001,TIENDA005,0.54
2024-06-16,HM000001,TIENDA005,0.77
2024-06-23,HM000001,TIENDA005,1.5
2024-06-30,HM000001,TIENDA005,2.2
2024-07-07,HM000001,TIENDA005,2.62
2024-07-14,HM000001,TIENDA005,2.2
2024-07-21,HM000001,TIENDA005,2.11
2024-07-28,HM000001,TIENDA005,1.49
2024-08-04,HM000001,TIENDA005,0.28
2024-08-11,HM000001,TIENDA005,0.98
2024-08-18,HM000001,TIENDA005,0.91
2024-08-25,HM000001,TIENDA005,0.72
2024-09-01,HM000001,TIENDA005,2.4
2024-09-08,HM000001,TIENDA005,1.17
2024-09-15,HM000001,TIENDA005,0.64
2024-09-22,HM000001,TIENDA005,0.67
2024-09-29,HM000001,TIENDA005,2.53
2024-10-06,HM000001,TIENDA005,2.79
2024-10-13,HM000001,TIENDA005,1.85
2024-10-20,HM000001,TIENDA005,2.4
2024-10-27,HM000001,TIENDA005,2.71
2024-11-03,HM000001,TIENDA005,0.71
2024-11-10,HM000001,TIENDA005,2.14
2024-11-17,HM000001,TIENDA005,1.72
2024-11-24,HM000001,TIENDA005,2.07
2024-12-01,HM000001,TIENDA005,0.99
2024-12-08,HM000001,TIENDA005,0.0
2024-12-15,HM000001,TIENDA005,2.52
2024-12-22,HM000001,TIENDA005,2.3
2024-12-29,HM000001,TIENDA005,3.82
2024-01-07,HM000001,TIENDA006,0.88
2024-01-14,HM000001,TIENDA006,0.3
2024-01-21,HM000001,TIENDA006,2.29
2024-01-28,HM000001,TIENDA006,1.86
2024-02-04,HM000001,TIENDA006,1.14
2024-02-11,HM000001,TIENDA006,1.67
2024-02-18,HM000001,TIENDA006,1.44
2024-02-25,HM000001,TIENDA006,3.9
2024-03-03,HM000001,TIENDA006,1.02
2024-03-10,HM000001,TIENDA006,0.75
2024-03-17,HM000001,TIENDA006,2.48
2024-03-24,HM000001,TIENDA006,1.84
2024-03-31,HM000001,TIENDA006,0.0
2024-04-07,HM000001,TIENDA006,2.19
2024-04-14,HM000001,TIENDA006,2.6
2024-04-21,HM000001,TIENDA006,3.34
2024-04-28,HM000001,TIENDA006,2.3
2024-05-05,HM000001,TIENDA006,1.51
2024-05-12,HM000001,TIENDA006,0.0
2024-05-19,HM000001,TIENDA006,1.65
2024-05-26,HM000001,TIENDA006,1.61
2024-06-02,HM000001,TIENDA006,2.28
2024-06-09,HM000001,TIENDA006,2.6
2024-06-16,HM000001,TIENDA006,0.8
2024-06-23,HM000001,TIENDA006,0.28
2024-06-30,HM000001,TIENDA006,0.84
2024-07-07,HM000001,TIENDA006,0.92
2024-07-14,HM000001,TIENDA006,1.92
2024-07-21,HM000001,TIENDA006,3.18
2024-07-28,HM000001,TIENDA006,2.68
2024-08-04,HM000001,TIENDA006,1.8
2024-08-11,HM000001,TIENDA006,2.45
2024-08-18,HM000001,TIENDA006,2.88
2024-08-25,HM000001,TIENDA006,1.38
2024-09-01,HM000001,TIENDA006,0.81
2024-09-08,HM000001,TIENDA006,1.74
2024-09-15,HM000001,TIENDA006,2.81
2024-09-22,HM000001,TIENDA006,2.45
2024-09-29,HM000001,TIENDA006,3.73
2024-10-06,HM000001,TIENDA006,0.55
2024-10-13,HM000001,TIENDA006,3.02
2024-10-20,HM000001,TIENDA006,2.23
2024-10-27,HM000001,TIENDA006,2.29
2024-11-03,HM000001,TIENDA006,0.58
2024-11-10,HM000001,TIENDA006,3.62
2024-11-17,HM000001,TIENDA006,1.51
2024-11-24,HM000001,TIENDA006,3.39
2024-12-01,HM000001,TIENDA006,0.85
2024-12-08,HM000001,TIENDA006,2.08
2024-12-15,HM000001,TIENDA006,2.41
2024-12-22,HM000001,TIENDA006,2.64
2024-12-29,HM000001,TIENDA006,0.48
2024-01-07,HM000001,TIENDA007,1.12
2024-01-14,HM000001,TIENDA007,2.65
2024-01-21,HM000001,TIENDA007,2.62
2024-01-28,HM000001,TIENDA007,3.7
2024-02-04,HM000001,TIENDA007,1.26
2024-02-11,HM000001,TIENDA007,1.8
2024-02-18,HM000001,TIENDA007,4.88
2024-02-25,HM000001,TIENDA007,4.15
2024-03-03,HM000001,TIENDA007,2.99
2024-03-10,HM000001,TIENDA007,0.77
2024-03-17,HM000001,TIENDA007,2.97
2024-03-24,HM000001,TIENDA007,3.03
2024-03-31,HM000001,TIENDA007,2.91
2024-04-07,HM000001,TIENDA007,1.85
2024-04-14,HM000001,TIENDA007,2.7
2024-04-21,HM000001,TIENDA007,3.45
2024-04-28,HM000001,TIENDA007,2.47
2024-05-05,HM000001,TIENDA007,3.44
2024-05-12,HM000001,TIENDA007,0.35
2024-05-19,HM000001,TIENDA007,0.0
2024-05-26,HM000001,TIENDA007,0.0
2024-06-02,HM000001,TIENDA007,1.22
2024-06-09,HM000001,TIENDA007,1.92
2024-06-16,HM000001,TIENDA007,3.43
2024-06-23,HM000001,TIENDA007,1.4
2024-06-30,HM000001,TIENDA007,0.44
2024-07-07,HM000001,TIENDA007,2.51
2024-07-14,HM000001,TIENDA007,1.74
2024-07-21,HM000001,TIENDA007,2.53
2024-07-28,HM000001,TIENDA007,2.99
2024-08-04,HM000001,TIENDA007,1.54
2024-08-11,HM000001,TIENDA007,2.94
2024-08-18,HM000001,TIENDA007,1.98
2024-08-25,HM000001,TIENDA007,2.17
2024-09-01,HM000001,TIENDA007,2.13
2024-09-08,HM000001,TIENDA007,1.33
2024-09-15,HM000001,TIENDA007,0.8
2024-09-22,HM000001,TIENDA007,1.36
2024-09-29,HM000001,TIENDA007,2.8
2024-10-06,HM000001,TIENDA007,2.15
2024-10-13,HM000001,TIENDA007,1.82
2024-10-20,HM000001,TIENDA007,0.8
2024-10-27,HM000001,TIENDA007,0.12
2024-11-03,HM000001,TIENDA007,0.91
2024-11-10,HM000001,TIENDA007,1.34
2024-11-17,HM000001,TIENDA007,2.13
2024-11-24,HM000001,TIENDA007,1.17
2024-12-01,HM000001,TIENDA007,0.75
2024-12-08,HM000001,TIENDA007,1.13
2024-12-15,HM000001,TIENDA007,3.2
2024-12-22,HM000001,TIENDA007,3.48
2024-12-29,HM000001,TIENDA007,4.59
2024-01-07,HM000001,TIENDA008,0.84
2024-01-14,HM000001,TIENDA008,1.34
2024-01-21,HM000001,TIENDA008,2.27
2024-01-28,HM000001,TIENDA008,1.04
2024-02-04,HM000001,TIENDA008,0.34
2024-02-11,HM000001,TIENDA008,1.55
2024-02-18,HM000001,TIENDA008,4.08
2024-02-25,HM000001,TIENDA008,1.59
2024-03-03,HM000001,TIENDA008,1.52
2024-03-10,HM000001,TIENDA008,2.36
2024-03-17,HM000001,TIENDA008,2.34
2024-03-24,HM000001,TIENDA008,1.1
2024-03-31,HM000001,TIENDA008,1.36
2024-04-07,HM000001,TIENDA008,2.28
2024-04-14,HM000001,TIENDA008,1.78
2024-04-21,HM000001,TIENDA008,3.4
2024-04-28,HM000001,TIENDA008,2.75
2024-05-05,HM000001,TIENDA008,2.79
2024-05-12,HM000001,TIENDA008,3.06
2024-05-19,HM000001,TIENDA008,1.88
2024-05-26,HM000001,TIENDA008,2.14
2024-06-02,HM000001,TIENDA008,1.7
2024-06-09,HM000001,TIENDA008,0.32
2024-06-16,HM000001,TIENDA008,0.0
2024-06-23,HM000001,TIENDA008,1.57
2024-06-30,HM000001,TIENDA008,2.62
2024-07-07,HM000001,TIENDA008,1.69
2024-07-14,HM000001,TIENDA008,2.22
2024-07-21,HM000001,TIENDA008,1.93
2024-07-28,HM000001,TIENDA008,0.35
2024-08-04,HM000001,TIENDA008,1.6
2024-08-11,HM000001,TIENDA008,0.59
2024-08-18,HM000001,TIENDA008,2.77
2024-08-25,HM000001,TIENDA008,2.37
2024-09-01,HM000001,TIENDA008,0.66
2024-09-08,HM000001,TIENDA008,1.47
2024-09-15,HM000001,TIENDA008,1.44
2024-09-22,HM000001,TIENDA008,0.88
2024-09-29,HM000001,TIENDA008,2.54
2024-10-06,HM000001,TIENDA008,1.65
2024-10-13,HM000001,TIENDA008,1.61
2024-10-20,HM000001,TIENDA008,1.02
2024-10-27,HM000001,TIENDA008,1.53
2024-11-03,HM000001,TIENDA008,1.92
2024-11-10,HM000001,TIENDA008,3.76
2024-11-17,HM000001,TIENDA008,2.42
2024-11-24,HM000001,TIENDA008,0.0
2024-12-01,HM000001,TIENDA008,2.56
2024-12-08,HM000001,TIENDA008,3.81
2024-12-15,HM000001,TIENDA008,3.12
2024-12-22,HM000001,TIENDA008,2.83
2024-12-29,HM000001,TIENDA008,1.37
2024-01-07,HM000001,TIENDA009,1.51
2024-01-14,HM000001,TIENDA009,2.64
2024-01-21,HM000001,TIENDA009,1.34
2024-01-28,HM000001,TIENDA009,0.0
2024-02-04,HM000001,TIENDA009,2.9
2024-02-11,HM000001,TIENDA009,3.17
2024-02-18,HM000001,TIENDA009,1.13
2024-02-25,HM000001,TIENDA009,1.18
2024-03-03,HM000001,TIENDA009,0.36
2024-03-10,HM000001,TIENDA009,0.99
2024-03-17,HM000001,TIENDA009,1.95
2024-03-24,HM000001,TIENDA009,0.0
2024-03-31,HM000001,TIENDA009,2.22
2024-04-07,HM000001,TIENDA009,1.35
2024-04-14,HM000001,TIENDA009,1.87
2024-04-21,HM000001,TIENDA009,1.43
2024-04-28,HM000001,TIENDA009,1.4
2024-05-05,HM000001,TIENDA009,0.22
2024-05-12,HM000001,TIENDA009,1.93
2024-05-19,HM000001,TIENDA009,3.29
2024-05-26,HM000001,TIENDA009,2.47
2024-06-02,HM000001,TIENDA009,1.28
2024-06-09,HM000001,TIENDA009,3.1
2024-06-16,HM000001,TIENDA009,1.04
2024-06-23,HM000001,TIENDA009,1.91
2024-06-30,HM000001,TIENDA009,1.8
2024-07-07,HM000001,TIENDA009,2.26
2024-07-14,HM000001,TIENDA009,0.08
2024-07-21,HM000001,TIENDA009,0.8
2024-07-28,HM000001,TIENDA009,0.32
2024-08-04,HM000001,TIENDA009,2.31
2024-08-11,HM000001,TIENDA009,1.45
2024-08-18,HM000001,TIENDA009,0.6
2024-08-25,HM000001,TIENDA009,1.14
2024-09-01,HM000001,TIENDA009,1.09
2024-09-08,HM000001,TIENDA009,0.25
2024-09-15,HM000001,TIENDA009,3.15
2024-09-22,HM000001,TIENDA009,0.0
2024-09-29,HM000001,TIENDA009,1.55
2024-10-06,HM000001,TIENDA009,2.63
2024-10-13,HM000001,TIENDA009,3.47
2024-10-20,HM000001,TIENDA009,2.0
2024-10-27,HM000001,TIENDA009,0.81
2024-11-03,HM000001,TIENDA009,0.0
2024-11-10,HM000001,TIENDA009,2.59
2024-11-17,HM000001,TIENDA009,2.81
2024-11-24,HM000001,TIENDA009,0.5
2024-12-01,HM000001,TIENDA009,2.22
2024-12-08,HM000001,TIENDA009,2.12
2024-12-15,HM000001,TIENDA009,1.44
2024-12-22,HM000001,TIENDA009,1.32
2024-12-29,HM000001,TIENDA009,0.0
2024-01-07,HM000001,TIENDA010,3.21
2024-01-14,HM000001,TIENDA010,1.12
2024-01-21,HM000001,TIENDA010,1.02
2024-01-28,HM000001,TIENDA010,2.45
2024-02-04,HM000001,TIENDA010,3.31
2024-02-11,HM000001,TIENDA010,2.06
2024-02-18,HM000001,TIENDA010,1.63
2024-02-25,HM000001,TIENDA010,1.75
2024-03-03,HM000001,TIENDA010,4.65
2024-03-10,HM000001,TIENDA010,3.39
2024-03-17,HM000001,TIENDA010,1.46
2024-03-24,HM000001,TIENDA010,1.27
2024-03-31,HM000001,TIENDA010,3.82
2024-04-07,HM000001,TIENDA010,0.0
2024-04-14,HM000001,TIENDA010,0.51
2024-04-21,HM000001,TIENDA010,2.15
2024-04-28,HM000001,TIENDA010,2.1
2024-05-05,HM000001,TIENDA010,0.5
2024-05-12,HM000001,TIENDA010,0.88
2024-05-19,HM000001,TIENDA010,1.67
2024-05-26,HM000001,TIENDA010,2.93
2024-06-02,HM000001,TIENDA010,2.28
2024-06-09,HM000001,TIENDA010,3.25
2024-06-16,HM000001,TIENDA010,3.42
2024-06-23,HM000001,TIENDA010,2.36
2024-06-30,HM000001,TIENDA010,0.78
2024-07-07,HM000001,TIENDA010,2.89
2024-07-14,HM000001,TIENDA010,1.54
2024-07-21,HM000001,TIENDA010,1.74
2024-07-28,HM000001,TIENDA010,4.14
2024-08-04,HM000001,TIENDA010,2.16
2024-08-11,HM000001,TIENDA010,0.0
2024-08-18,HM000001,TIENDA010,1.17
2024-08-25,HM000001,TIENDA010,4.3
2024-09-01,HM000001,TIENDA010,0.64
2024-09-08,HM000001,TIENDA010,2.74
2024-09-15,HM000001,TIENDA010,3.04
2024-09-22,HM000001,TIENDA010,2.54
2024-09-29,HM000001,TIENDA010,0.0
2024-10-06,HM000001,TIENDA010,1.54
2024-10-13,HM000001,TIENDA010,3.89
2024-10-20,HM000001,TIENDA010,2.98
2024-10-27,HM000001,TIENDA010,1.51
2024-11-03,HM000001,TIENDA010,1.34
2024-11-10,HM000001,TIENDA010,2.66
2024-11-17,HM000001,TIENDA010,3.04
2024-11-24,HM000001,TIENDA010,1.45
2024-12-01,HM000001,TIENDA010,1.94
2024-12-08,HM000001,TIENDA010,1.59
2024-12-15,HM000001,TIENDA010,2.69
2024-12-22,HM000001,TIENDA010,2.42
2024-12-29,HM000001,TIENDA010,2.69
2024-01-07,HM000002,TIENDA001,0.14
2024-01-14,HM000002,TIENDA001,1.6
2024-01-21,HM000002,TIENDA001,1.11
2024-01-28,HM000002,TIENDA001,1.86
2024-02-04,HM000002,TIENDA001,1.05
2024-02-11,HM000002,TIENDA001,0.0
2024-02-18,HM000002,TIENDA001,0.73
2024-02-25,HM000002,TIENDA001,1.13
2024-03-03,HM000002,TIENDA001,1.05
2024-03-10,HM000002,TIENDA001,0.81
2024-03-17,HM000002,TIENDA001,1.18
2024-03-24,HM000002,TIENDA001,1.34
2024-03-31,HM000002,TIENDA001,1.72
2024-04-07,HM000002,TIENDA001,0.56
2024-04-14,HM000002,TIENDA001,0.26
2024-04-21,HM000002,TIENDA001,2.49
2024-04-28,HM000002,TIENDA001,2.59
2024-05-05,HM000002,TIENDA001,2.46
2024-05-12,HM000002,TIENDA001,2.42
2024-05-19,HM000002,TIENDA001,1.31
2024-05-26,HM000002,TIENDA001,3.4
2024-06-02,HM000002,TIENDA001,2.75
2024-06-09,HM000002,TIENDA001,1.43
2024-06-16,HM000002,TIENDA001,0.57
2024-06-23,HM000002,TIENDA001,1.34
2024-06-30,HM000002,TIENDA001,0.86
2024-07-07,HM000002,TIENDA001,0.0
2024-07-14,HM000002,TIENDA001,0.35
2024-07-21,HM000002,TIENDA001,1.34
2024-07-28,HM000002,TIENDA001,1.6
2024-08-04,HM000002,TIENDA001,2.48
2024-08-11,HM000002,TIENDA001,2.52
2024-08-18,HM000002,TIENDA001,0.63
2024-08-25,HM000002,TIENDA001,1.62
2024-09-01,HM000002,TIENDA001,1.4
2024-09-08,HM000002,TIENDA001,0.98
2024-09-15,HM000002,TIENDA001,0.88
2024-09-22,HM000002,TIENDA001,0.32
2024-09-29,HM000002,TIENDA001,0.71
2024-10-06,HM000002,TIENDA001,2.85
2024-10-13,HM000002,TIENDA001,2.54
2024-10-20,HM000002,TIENDA001,2.68
2024-10-27,HM000002,TIENDA001,2.37
2024-11-03,HM000002,TIENDA001,2.04
2024-11-10,HM000002,TIENDA001,2.26
2024-11-17,HM000002,TIENDA001,2.4
2024-11-24,HM000002,TIENDA001,3.01
2024-12-01,HM000002,TIENDA001,0.61
2024-12-08,HM000002,TIENDA001,0.0
2024-12-15,HM000002,TIENDA001,1.97
2024-12-22,HM000002,TIENDA001,1.16
2024-12-29,HM000002,TIENDA001,1.2
2024-01-07,HM000002,TIENDA002,1.59
2024-01-14,HM000002,TIENDA002,0.0
2024-01-21,HM000002,TIENDA002,0.91
2024-01-28,HM000002,TIENDA002,2.12
2024-02-04,HM000002,TIENDA002,0.58
2024-02-11,HM000002,TIENDA002,2.09
2024-02-18,HM000002,TIENDA002,0.06
2024-02-25,HM000002,TIENDA002,1.99
2024-03-03,HM000002,TIENDA002,3.13
2024-03-10,HM000002,TIENDA002,0.53
2024-03-17,HM000002,TIENDA002,1.03
2024-03-24,HM000002,TIENDA002,1.73
2024-03-31,HM000002,TIENDA002,2.29
2024-04-07,HM000002,TIENDA002,3.8
2024-04-14,HM000002,TIENDA002,2.04
2024-04-21,HM000002,TIENDA002,2.08
2024-04-28,HM000002,TIENDA002,0.99
2024-05-05,HM000002,TIENDA002,0.97
2024-05-12,HM000002,TIENDA002,3.38
2024-05-19,HM000002,TIENDA002,3.37
2024-05-26,HM000002,TIENDA002,2.8
2024-06-02,HM000002,TIENDA002,1.01
2024-06-09,HM000002,TIENDA002,1.84
2024-06-16,HM000002,TIENDA002,1.43
2024-06-23,HM000002,TIENDA002,1.75
2024-06-30,HM000002,TIENDA002,2.68
2024-07-07,HM000002,TIENDA002,3.35
2024-07-14,HM000002,TIENDA002,1.06
2024-07-21,HM000002,TIENDA002,1.16
2024-07-28,HM000002,TIENDA002,2.16
2024-08-04,HM000002,TIENDA002,1.12
2024-08-11,HM000002,TIENDA002,0.04
2024-08-18,HM000002,TIENDA002,0.14
2024-08-25,HM000002,TIENDA002,1.31
