sku,tienda,fecha_predicha,semana_a_futuro,prediccion_ARIMA
HM000001,TIENDA006,2024-12-29,1,1.96
HM000001,TIENDA006,2025-01-05,2,1.92
HM000001,TIENDA006,2025-01-12,3,1.92
HM000001,TIENDA006,2025-01-19,4,1.92
HM000001,TIENDA006,2025-01-26,5,1.92
HM000001,TIENDA006,2025-02-02,6,1.92
HM000001,TIENDA006,2025-02-09,7,1.92
HM000001,TIENDA006,2025-02-16,8,1.92
HM000001,TIENDA007,2024-12-29,1,3.23
HM000001,TIENDA007,2025-01-05,2,2.61
HM000001,TIENDA007,2025-01-12,3,2.33
HM000001,TIENDA007,2025-01-19,4,2.2
HM000001,TIENDA007,2025-01-26,5,2.15
HM000001,TIENDA007,2025-02-02,6,2.12
HM000001,TIENDA007,2025-02-09,7,2.11
HM000001,TIENDA007,2025-02-16,8,2.1
HM000001,TIENDA008,2024-12-29,1,1.72
HM000001,TIENDA008,2025-01-05,2,1.81
HM000001,TIENDA008,2025-01-12,3,1.83
HM000001,TIENDA008,2025-01-19,4,1.84
HM000001,TIENDA008,2025-01-26,5,1.84
HM000001,TIENDA008,2025-02-02,6,1.84
HM000001,TIENDA008,2025-02-09,7,1.84
HM000001,TIENDA008,2025-02-16,8,1.84
HM000001,TIENDA009,2024-12-29,1,1.56
HM000001,TIENDA009,2025-01-05,2,1.53
HM000001,TIENDA009,2025-01-12,3,1.53
HM000001,TIENDA009,2025-01-19,4,1.53
HM000001,TIENDA009,2025-01-26,5,1.53
HM000001,TIENDA009,2025-02-02,6,1.53
HM000001,TIENDA009,2025-02-09,7,1.53
HM000001,TIENDA009,2025-02-16,8,1.53
HM000001,TIENDA010,2024-12-29,1,2.14
HM000001,TIENDA010,2025-01-05,2,2.13
HM000001,TIENDA010,2025-01-12,3,2.13
HM000001,TIENDA010,2025-01-19,4,2.13
HM000001,TIENDA010,2025-01-26,5,2.13
HM000001,TIENDA010,2025-02-02,6,2.13
HM000001,TIENDA010,2025-02-09,7,2.13
HM000001,TIENDA010,2025-02-16,8,2.13
HM000002,TIENDA001,2024-12-29,1,1.33
HM000002,TIENDA001,2025-01-05,2,1.39
HM000002,TIENDA001,2025-01-12,3,1.42
HM000002,TIENDA001,2025-01-19,4,1.43
HM000002,TIENDA001,2025-01-26,5,1.43
HM000002,TIENDA001,2025-02-02,6,1.44
HM000002,TIENDA001,2025-02-09,7,1.44
HM000002,TIENDA001,2025-02-16,8,1.44
HM000002,TIENDA002,2024-12-29,1,1.41
HM000002,TIENDA002,2025-01-05,2,1.55
HM000002,TIENDA002,2025-01-12,3,1.58
HM000002,TIENDA002,2025-01-19,4,1.6
HM000002,TIENDA002,2025-01-26,5,1.6
HM000002,TIENDA002,2025-02-02,6,1.6
HM000002,TIENDA002,2025-02-09,7,1.6
HM000002,TIENDA002,2025-02-16,8,1.6
HM000002,TIENDA003,2024-12-29,1,1.48
HM000002,TIENDA003,2025-01-05,2,1.55
HM000002,TIENDA003,2025-01-12,3,1.54
HM000002,TIENDA003,2025-01-19,4,1.54
HM000002,TIENDA003,2025-01-26,5,1.54
HM000002,TIENDA003,2025-02-02,6,1.54
HM000002,TIENDA003,2025-02-09,7,1.54
HM000002,TIENDA003,2025-02-16,8,1.54
HM000002,TIENDA004,2024-12-29,1,1.52
HM000002,TIENDA004,2025-01-05,2,1.53
HM000002,TIENDA004,2025-01-12,3,1.53
HM000002,TIENDA004,2025-01-19,4,1.53
HM000002,TIENDA004,2025-01-26,5,1.53
HM000002,TIENDA004,2025-02-02,6,1.53
HM000002,TIENDA004,2025-02-09,7,1.53
HM000002,TIENDA004,2025-02-16,8,1.53
HM000002,TIENDA005,2024-12-29,1,1.82
HM000002,TIENDA005,2025-01-05,2,1.91
HM000002,TIENDA005,2025-01-12,3,1.89
HM000002,TIENDA005,2025-01-19,4,1.9
HM000002,TIENDA005,2025-01-26,5,1.9
HM000002,TIENDA005,2025-02-02,6,1.9
HM000002,TIENDA005,2025-02-09,7,1.9
HM000002,TIENDA005,2025-02-16,8,1.9
HM000002,TIENDA006,2024-12-29,1,1.27
HM000002,TIENDA006,2025-01-05,2,1.51
HM000002,TIENDA006,2025-01-12,3,1.56
HM000002,TIENDA006,2025-01-19,4,1.57
HM000002,TIENDA006,2025-01-26,5,1.58
HM000002,TIENDA006,2025-02-02,6,1.58
HM000002,TIENDA006,2025-02-09,7,1.58
HM000002,TIENDA006,2025-02-16,8,1.58
HM000002,TIENDA007,2024-12-29,1,1.7
HM000002,TIENDA007,2025-01-05,2,1.65
HM000002,TIENDA007,2025-01-12,3,1.65
HM000002,TIENDA007,2025-01-19,4,1.65
HM000002,TIENDA007,2025-01-26,5,1.65
HM000002,TIENDA007,2025-02-02,6,1.65
HM000002,TIENDA007,2025-02-09,7,1.65
HM000002,TIENDA007,2025-02-16,8,1.65
HM000002,TIENDA008,2024-12-29,1,1.21
HM000002,TIENDA008,2025-01-05,2,1.32
HM000002,TIENDA008,2025-01-12,3,1.29
HM000002,TIENDA008,2025-01-19,4,1.3
HM000002,TIENDA008,2025-01-26,5,1.29
HM000002,TIENDA008,2025-02-02,6,1.29
HM000002,TIENDA008,2025-02-09,7,1.29
HM000002,TIENDA008,2025-02-16,8,1.29
HM000002,TIENDA009,2024-12-29,1,1.67
HM000002,TIENDA009,2025-01-05,2,1.61
HM000002,TIENDA009,2025-01-12,3,1.6
HM000002,TIENDA009,2025-01-19,4,1.6
HM000002,TIENDA009,2025-01-26,5,1.6
HM000002,TIENDA009,2025-02-02,6,1.6
HM000002,TIENDA009,2025-02-09,7,1.6
HM000002,TIENDA009,2025-02-16,8,1.6
HM000002,TIENDA010,2024-12-29,1,1.68
HM000002,TIENDA010,2025-01-05,2,1.55
HM000002,TIENDA010,2025-01-12,3,1.53
HM000002,TIENDA010,2025-01-19,4,1.52
HM000002,TIENDA010,2025-01-26,5,1.52
HM000002,TIENDA010,2025-02-02,6,1.52
HM000002,TIENDA010,2025-02-09,7,1.52
HM000002,TIENDA010,2025-02-16,8,1.52
HM000003,TIENDA001,2024-12-29,1,1.25
HM000003,TIENDA001,2025-01-05,2,1.19
HM000003,TIENDA001,2025-01-12,3,1.2
HM000003,TIENDA001,2025-01-19,4,1.2
HM000003,TIENDA001,2025-01-26,5,1.2
HM000003,TIENDA001,2025-02-02,6,1.2
HM000003,TIENDA001,2025-02-09,7,1.2
HM000003,TIENDA001,2025-02-16,8,1.2
HM000003,TIENDA002,2024-12-29,1,1.51
HM000003,TIENDA002,2025-01-05,2,1.49
HM000003,TIENDA002,2025-01-12,3,1.49
HM000003,TIENDA002,2025-01-19,4,1.49
HM000003,TIENDA002,2025-01-26,5,1.49
HM000003,TIENDA002,2025-02-02,6,1.49
HM000003,TIENDA002,2025-02-09,7,1.49
HM000003,TIENDA002,2025-02-16,8,1.49
HM000003,TIENDA003,2024-12-29,1,1.81
HM000003,TIENDA003,2025-01-05,2,1.66
HM000003,TIENDA003,2025-01-12,3,1.67
HM000003,TIENDA003,2025-01-19,4,1.67
HM000003,TIENDA003,2025-01-26,5,1.67
HM000003,TIENDA003,2025-02-02,6,1.67
HM000003,TIENDA003,2025-02-09,7,1.67
HM000003,TIENDA003,2025-02-16,8,1.67
HM000003,TIENDA004,2024-12-29,1,2.08
HM000003,TIENDA004,2025-01-05,2,2.06
HM000003,TIENDA004,2025-01-12,3,2.06
HM000003,TIENDA004,2025-01-19,4,2.06
HM000003,TIENDA004,2025-01-26,5,2.06
HM000003,TIENDA004,2025-02-02,6,2.06
HM000003,TIENDA004,2025-02-09,7,2.06
HM000003,TIENDA004,2025-02-16,8,2.06
HM000003,TIENDA005,2024-12-29,1,2.11
HM000003,TIENDA005,2025-01-05,2,1.93
HM000003,TIENDA005,2025-01-12,3,1.86
HM000003,TIENDA005,2025-01-19,4,1.84
HM000003,TIENDA005,2025-01-26,5,1.82
HM000003,TIENDA005,2025-02-02,6,1.82
HM000003,TIENDA005,2025-02-09,7,1.82
HM000003,TIENDA005,2025-02-16,8,1.82
HM000003,TIENDA006,2024-12-29,1,1.71
HM000003,TIENDA006,2025-01-05,2,1.72
HM000003,TIENDA006,2025-01-12,3,1.72
HM000003,TIENDA006,2025-01-19,4,1.72
HM000003,TIENDA006,2025-01-26,5,1.72
HM000003,TIENDA006,2025-02-02,6,1.72
HM000003,TIENDA006,2025-02-09,7,1.72
HM000003,TIENDA006,2025-02-16,8,1.72
HM000003,TIENDA007,2024-12-29,1,1.06
HM000003,TIENDA007,2025-01-05,2,1.88
HM000003,TIENDA007,2025-01-12,3,1.63
HM000003,TIENDA007,2025-01-19,4,1.71
HM000003,TIENDA007,2025-01-26,5,1.68
HM000003,TIENDA007,2025-02-02,6,1.69
HM000003,TIENDA007,2025-02-09,7,1.69
HM000003,TIENDA007,2025-02-16,8,1.69
HM000003,TIENDA008,2024-12-29,1,1.34
HM000003,TIENDA008,2025-01-05,2,1.71
HM000003,TIENDA008,2025-01-12,3,1.62
HM000003,TIENDA008,2025-01-19,4,1.64
HM000003,TIENDA008,2025-01-26,5,1.63
HM000003,TIENDA008,2025-02-02,6,1.64
HM000003,TIENDA008,2025-02-09,7,1.64
HM000003,TIENDA008,2025-02-16,8,1.64
HM000003,TIENDA009,2024-12-29,1,1.54
HM000003,TIENDA009,2025-01-05,2,1.64
HM000003,TIENDA009,2025-01-12,3,1.65
HM000003,TIENDA009,2025-01-19,4,1.65
HM000003,TIENDA009,2025-01-26,5,1.65
HM000003,TIENDA009,2025-02-02,6,1.65
HM000003,TIENDA009,2025-02-09,7,1.65
HM000003,TIENDA009,2025-02-16,8,1.65
HM000003,TIENDA010,2024-12-29,1,1.57
HM000003,TIENDA010,2025-01-05,2,1.55
HM000003,TIENDA010,2025-01-12,3,1.54
HM000003,TIENDA010,2025-01-19,4,1.54
HM000003,TIENDA010,2025-01-26,5,1.54
HM000003,TIENDA010,2025-02-02,6,1.54
HM000003,TIENDA010,2025-02-09,7,1.54
HM000003,TIENDA010,2025-02-16,8,1.54
HM000004,TIENDA001,2024-12-29,1,1.6
HM000004,TIENDA001,2025-01-05,2,1.72
HM000004,TIENDA001,2025-01-12,3,1.71
HM000004,TIENDA001,2025-01-19,4,1.71
HM000004,TIENDA001,2025-01-26,5,1.71
HM000004,TIENDA001,2025-02-02,6,1.71
HM000004,TIENDA001,2025-02-09,7,1.71
HM000004,TIENDA001,2025-02-16,8,1.71
HM000004,TIENDA002,2024-12-29,1,1.52
HM000004,TIENDA002,2025-01-05,2,1.61
HM000004,TIENDA002,2025-01-12,3,1.62
HM000004,TIENDA002,2025-01-19,4,1.62
HM000004,TIENDA002,2025-01-26,5,1.62
HM000004,TIENDA002,2025-02-02,6,1.62
HM000004,TIENDA002,2025-02-09,7,1.62
HM000004,TIENDA002,2025-02-16,8,1.62
HM000004,TIENDA003,2024-12-29,1,1.42
HM000004,TIENDA003,2025-01-05,2,1.37
HM000004,TIENDA003,2025-01-12,3,1.38
HM000004,TIENDA003,2025-01-19,4,1.38
HM000004,TIENDA003,2025-01-26,5,1.38
HM000004,TIENDA003,2025-02-02,6,1.38
HM000004,TIENDA003,2025-02-09,7,1.38
HM000004,TIENDA003,2025-02-16,8,1.38
HM000004,TIENDA004,2024-12-29,1,1.27
HM000004,TIENDA004,2025-01-05,2,1.27
HM000004,TIENDA004,2025-01-12,3,1.27
HM000004,TIENDA004,2025-01-19,4,1.27
HM000004,TIENDA004,2025-01-26,5,1.27
HM000004,TIENDA004,2025-02-02,6,1.27
HM000004,TIENDA004,2025-02-09,7,1.27
HM000004,TIENDA004,2025-02-16,8,1.27
HM000004,TIENDA005,2024-12-29,1,1.56
HM000004,TIENDA005,2025-01-05,2,1.43
HM000004,TIENDA005,2025-01-12,3,1.46
HM000004,TIENDA005,2025-01-19,4,1.45
HM000004,TIENDA005,2025-01-26,5,1.45
HM000004,TIENDA005,2025-02-02,6,1.45
HM000004,TIENDA005,2025-02-09,7,1.45
HM000004,TIENDA005,2025-02-16,8,1.45
HM000004,TIENDA006,2024-12-29,1,1.61
HM000004,TIENDA006,2025-01-05,2,1.69
HM000004,TIENDA006,2025-01-12,3,1.67
HM000004,TIENDA006,2025-01-19,4,1.67
HM000004,TIENDA006,2025-01-26,5,1.67
HM000004,TIENDA006,2025-02-02,6,1.67
HM000004,TIENDA006,2025-02-09,7,1.67
HM000004,TIENDA006,2025-02-16,8,1.67
HM000004,TIENDA007,2024-12-29,1,1.75
HM000004,TIENDA007,2025-01-05,2,1.73
HM000004,TIENDA007,2025-01-12,3,1.73
HM000004,TIENDA007,2025-01-19,4,1.73
HM000004,TIENDA007,2025-01-26,5,1.73
HM000004,TIENDA007,2025-02-02,6,1.73
HM000004,TIENDA007,2025-02-09,7,1.73
HM000004,TIENDA007,2025-02-16,8,1.73
HM000004,TIENDA008,2024-12-29,1,1.7
HM000004,TIENDA008,2025-01-05,2,1.68
HM000004,TIENDA008,2025-01-12,3,1.68
HM000004,TIENDA008,2025-01-19,4,1.68
HM000004,TIENDA008,2025-01-26,5,1.68
HM000004,TIENDA008,2025-02-02,6,1.68
HM000004,TIENDA008,2025-02-09,7,1.68
HM000004,TIENDA008,2025-02-16,8,1.68
HM000004,TIENDA009,2024-12-29,1,1.53
HM000004,TIENDA009,2025-01-05,2,1.54
HM000004,TIENDA009,2025-01-12,3,1.54
HM000004,TIENDA009,2025-01-19,4,1.54
HM000004,TIENDA009,2025-01-26,5,1.54
HM000004,TIENDA009,2025-02-02,6,1.54
HM000004,TIENDA009,2025-02-09,7,1.54
HM000004,TIENDA009,2025-02-16,8,1.54
HM000004,TIENDA010,2024-12-29,1,1.33
HM000004,TIENDA010,2025-01-05,2,1.44
HM000004,TIENDA010,2025-01-12,3,1.46
HM000004,TIENDA010,2025-01-19,4,1.47
HM000004,TIENDA010,2025-01-26,5,1.47
HM000004,TIENDA010,2025-02-02,6,1.47
HM000004,TIENDA010,2025-02-09,7,1.47
HM000004,TIENDA010,2025-02-16,8,1.47
HM000005,TIENDA001,2024-12-29,1,2.49
HM000005,TIENDA001,2025-01-05,2,2.14
HM000005,TIENDA001,2025-01-12,3,2.27
HM000005,TIENDA001,2025-01-19,4,2.23
HM000005,TIENDA001,2025-01-26,5,2.24
HM000005,TIENDA001,2025-02-02,6,2.24
HM000005,TIENDA001,2025-02-09,7,2.24
HM000005,TIENDA001,2025-02-16,8,2.24
HM000005,TIENDA002,2024-12-29,1,1.94
HM000005,TIENDA002,2025-01-05,2,2.01
HM000005,TIENDA002,2025-01-12,3,2.03
HM000005,TIENDA002,2025-01-19,4,2.03
HM000005,TIENDA002,2025-01-26,5,2.03
HM000005,TIENDA002,2025-02-02,6,2.03
HM000005,TIENDA002,2025-02-09,7,2.03
HM000005,TIENDA002,2025-02-16,8,2.03
HM000005,TIENDA003,2024-12-29,1,1.6
HM000005,TIENDA003,2025-01-05,2,1.62
HM000005,TIENDA003,2025-01-12,3,1.63
HM000005,TIENDA003,2025-01-19,4,1.63
HM000005,TIENDA003,2025-01-26,5,1.63
HM000005,TIENDA003,2025-02-02,6,1.63
HM000005,TIENDA003,2025-02-09,7,1.63
HM000005,TIENDA003,2025-02-16,8,1.63
HM000005,TIENDA004,2024-12-29,1,2.09
HM000005,TIENDA004,2025-01-05,2,2.18
HM000005,TIENDA004,2025-01-12,3,2.2
HM000005,TIENDA004,2025-01-19,4,2.2
HM000005,TIENDA004,2025-01-26,5,2.2
HM000005,TIENDA004,2025-02-02,6,2.2
HM000005,TIENDA004,2025-02-09,7,2.2
HM000005,TIENDA004,2025-02-16,8,2.2
HM000005,TIENDA005,2024-12-29,1,2.28
HM000005,TIENDA005,2025-01-05,2,2.6
HM000005,TIENDA005,2025-01-12,3,2.55
HM000005,TIENDA005,2025-01-19,4,2.56
HM000005,TIENDA005,2025-01-26,5,2.56
HM000005,TIENDA005,2025-02-02,6,2.56
HM000005,TIENDA005,2025-02-09,7,2.56
HM000005,TIENDA005,2025-02-16,8,2.56
HM000005,TIENDA006,2024-12-29,1,1.72
HM000005,TIENDA006,2025-01-05,2,1.97
HM000005,TIENDA006,2025-01-12,3,2.0
HM000005,TIENDA006,2025-01-19,4,2.01
HM000005,TIENDA006,2025-01-26,5,2.01
HM000005,TIENDA006,2025-02-02,6,2.01
HM000005,TIENDA006,2025-02-09,7,2.01
HM000005,TIENDA006,2025-02-16,8,2.01
HM000005,TIENDA007,2024-12-29,1,2.63
HM000005,TIENDA007,2025-01-05,2,2.58
HM000005,TIENDA007,2025-01-12,3,2.58
HM000005,TIENDA007,2025-01-19,4,2.58
HM000005,TIENDA007,2025-01-26,5,2.58
HM000005,TIENDA007,2025-02-02,6,2.58
HM000005,TIENDA007,2025-02-09,7,2.58
HM000005,TIENDA007,2025-02-16,8,2.58
HM000005,TIENDA008,2024-12-29,1,2.09
HM000005,TIENDA008,2025-01-05,2,2.01
HM000005,TIENDA008,2025-01-12,3,2.0
HM000005,TIENDA008,2025-01-19,4,2.0
HM000005,TIENDA008,2025-01-26,5,2.0
HM000005,TIENDA008,2025-02-02,6,2.0
HM000005,TIENDA008,2025-02-09,7,2.0
HM000005,TIENDA008,2025-02-16,8,2.0
HM000005,TIENDA009,2024-12-29,1,1.79
HM000005,TIENDA009,2025-01-05,2,1.77
HM000005,TIENDA009,2025-01-12,3,1.77
HM000005,TIENDA009,2025-01-19,4,1.77
HM000005,TIENDA009,2025-01-26,5,1.77
HM000005,TIENDA009,2025-02-02,6,1.77
HM000005,TIENDA009,2025-02-09,7,1.77
HM000005,TIENDA009,2025-02-16,8,1.77
HM000005,TIENDA010,2024-12-29,1,2.32
HM000005,TIENDA010,2025-01-05,2,2.19
HM000005,TIENDA010,2025-01-12,3,2.2
HM000005,TIENDA010,2025-01-19,4,2.2
HM000005,TIENDA010,2025-01-26,5,2.2
HM000005,TIENDA010,2025-02-02,6,2.2
HM000005,TIENDA010,2025-02-09,7,2.2
HM000005,TIENDA010,2025-02-16,8,2.2
HM000006,TIENDA001,2024-12-29,1,1.74
HM000006,TIENDA001,2025-01-05,2,1.89
HM000006,TIENDA001,2025-01-12,3,1.86
HM000006,TIENDA001,2025-01-19,4,1.86
HM000006,TIENDA001,2025-01-26,5,1.86
HM000006,TIENDA001,2025-02-02,6,1.86
HM000006,TIENDA001,2025-02-09,7,1.86
HM000006,TIENDA001,2025-02-16,8,1.86
HM000006,TIENDA002,2024-12-29,1,1.76
HM000006,TIENDA002,2025-01-05,2,1.69
HM000006,TIENDA002,2025-01-12,3,1.69
HM000006,TIENDA002,2025-01-19,4,1.69
HM000006,TIENDA002,2025-01-26,5,1.69
HM000006,TIENDA002,2025-02-02,6,1.69
HM000006,TIENDA002,2025-02-09,7,1.69
HM000006,TIENDA002,2025-02-16,8,1.69
HM000006,TIENDA003,2024-12-29,1,1.39
HM000006,TIENDA003,2025-01-05,2,1.53
HM000006,TIENDA003,2025-01-12,3,1.56
HM000006,TIENDA003,2025-01-19,4,1.56
HM000006,TIENDA003,2025-01-26,5,1.57
HM000006,TIENDA003,2025-02-02,6,1.57
HM000006,TIENDA003,2025-02-09,7,1.57
HM000006,TIENDA003,2025-02-16,8,1.57
HM000006,TIENDA004,2024-12-29,1,1.35
HM000006,TIENDA004,2025-01-05,2,1.32
HM000006,TIENDA004,2025-01-12,3,1.32
HM000006,TIENDA004,2025-01-19,4,1.32
HM000006,TIENDA004,2025-01-26,5,1.32
HM000006,TIENDA004,2025-02-02,6,1.32
HM000006,TIENDA004,2025-02-09,7,1.32
HM000006,TIENDA004,2025-02-16,8,1.32
HM000006,TIENDA005,2024-12-29,1,1.87
HM000006,TIENDA005,2025-01-05,2,1.77
HM000006,TIENDA005,2025-01-12,3,1.78
HM000006,TIENDA005,2025-01-19,4,1.78
HM000006,TIENDA005,2025-01-26,5,1.78
HM000006,TIENDA005,2025-02-02,6,1.78
HM000006,TIENDA005,2025-02-09,7,1.78
HM000006,TIENDA005,2025-02-16,8,1.78
HM000006,TIENDA006,2024-12-29,1,1.75
HM000006,TIENDA006,2025-01-05,2,1.74
HM000006,TIENDA006,2025-01-12,3,1.73
HM000006,TIENDA006,2025-01-19,4,1.73
HM000006,TIENDA006,2025-01-26,5,1.73
HM000006,TIENDA006,2025-02-02,6,1.73
HM000006,TIENDA006,2025-02-09,7,1.73
HM000006,TIENDA006,2025-02-16,8,1.73
HM000006,TIENDA007,2024-12-29,1,1.38
HM000006,TIENDA007,2025-01-05,2,1.71
HM000006,TIENDA007,2025-01-12,3,1.79
HM000006,TIENDA007,2025-01-19,4,1.81
HM000006,TIENDA007,2025-01-26,5,1.82
HM000006,TIENDA007,2025-02-02,6,1.82
HM000006,TIENDA007,2025-02-09,7,1.82
HM000006,TIENDA007,2025-02-16,8,1.82
HM000006,TIENDA008,2024-12-29,1,1.94
HM000006,TIENDA008,2025-01-05,2,1.97
HM000006,TIENDA008,2025-01-12,3,1.97
HM000006,TIENDA008,2025-01-19,4,1.97
HM000006,TIENDA008,2025-01-26,5,1.97
HM000006,TIENDA008,2025-02-02,6,1.97
HM000006,TIENDA008,2025-02-09,7,1.97
HM000006,TIENDA008,2025-02-16,8,1.97
HM000006,TIENDA009,2024-12-29,1,1.71
HM000006,TIENDA009,2025-01-05,2,1.62
HM000006,TIENDA009,2025-01-12,3,1.61
HM000006,TIENDA009,2025-01-19,4,1.6
HM000006,TIENDA009,2025-01-26,5,1.6
HM000006,TIENDA009,2025-02-02,6,1.6
HM000006,TIENDA009,2025-02-09,7,1.6
HM000006,TIENDA009,2025-02-16,8,1.6
HM000006,TIENDA010,2024-12-29,1,1.12
HM000006,TIENDA010,2025-01-05,2,1.91
HM000006,TIENDA010,2025-01-12,3,1.69
HM000006,TIENDA010,2025-01-19,4,1.75
HM000006,TIENDA010,2025-01-26,5,1.74
HM000006,TIENDA010,2025-02-02,6,1.74
HM000006,TIENDA010,2025-02-09,7,1.74
HM000006,TIENDA010,2025-02-16,8,1.74
HM000007,TIENDA001,2024-12-29,1,1.4
HM000007,TIENDA001,2025-01-05,2,1.35
HM000007,TIENDA001,2025-01-12,3,1.36
HM000007,TIENDA001,2025-01-19,4,1.36
HM000007,TIENDA001,2025-01-26,5,1.36
HM000007,TIENDA001,2025-02-02,6,1.36
HM000007,TIENDA001,2025-02-09,7,1.36
HM000007,TIENDA001,2025-02-16,8,1.36
HM000007,TIENDA002,2024-12-29,1,1.6
HM000007,TIENDA002,2025-01-05,2,1.66
HM000007,TIENDA002,2025-01-12,3,1.65
HM000007,TIENDA002,2025-01-19,4,1.65
HM000007,TIENDA002,2025-01-26,5,1.65
HM000007,TIENDA002,2025-02-02,6,1.65
HM000007,TIENDA002,2025-02-09,7,1.65
HM000007,TIENDA002,2025-02-16,8,1.65
HM000007,TIENDA003,2024-12-29,1,1.36
HM000007,TIENDA003,2025-01-05,2,1.5
HM000007,TIENDA003,2025-01-12,3,1.47
HM000007,TIENDA003,2025-01-19,4,1.48
HM000007,TIENDA003,2025-01-26,5,1.48
HM000007,TIENDA003,2025-02-02,6,1.48
HM000007,TIENDA003,2025-02-09,7,1.48
HM000007,TIENDA003,2025-02-16,8,1.48
HM000007,TIENDA004,2024-12-29,1,1.6
HM000007,TIENDA004,2025-01-05,2,1.57
HM000007,TIENDA004,2025-01-12,3,1.56
HM000007,TIENDA004,2025-01-19,4,1.56
HM000007,TIENDA004,2025-01-26,5,1.56
HM000007,TIENDA004,2025-02-02,6,1.56
HM000007,TIENDA004,2025-02-09,7,1.56
HM000007,TIENDA004,2025-02-16,8,1.56
HM000007,TIENDA005,2024-12-29,1,1.27
HM000007,TIENDA005,2025-01-05,2,1.4
HM000007,TIENDA005,2025-01-12,3,1.38
HM000007,TIENDA005,2025-01-19,4,1.38
HM000007,TIENDA005,2025-01-26,5,1.38
HM000007,TIENDA005,2025-02-02,6,1.38
HM000007,TIENDA005,2025-02-09,7,1.38
HM000007,TIENDA005,2025-02-16,8,1.38
HM000007,TIENDA006,2024-12-29,1,1.66
HM000007,TIENDA006,2025-01-05,2,1.62
HM000007,TIENDA006,2025-01-12,3,1.62
HM000007,TIENDA006,2025-01-19,4,1.62
HM000007,TIENDA006,2025-01-26,5,1.62
HM000007,TIENDA006,2025-02-02,6,1.62
HM000007,TIENDA006,2025-02-09,7,1.62
HM000007,TIENDA006,2025-02-16,8,1.62
HM000007,TIENDA007,2024-12-29,1,1.79
HM000007,TIENDA007,2025-01-05,2,1.68
HM000007,TIENDA007,2025-01-12,3,1.66
HM000007,TIENDA007,2025-01-19,4,1.66
HM000007,TIENDA007,2025-01-26,5,1.66
HM000007,TIENDA007,2025-02-02,6,1.66
HM000007,TIENDA007,2025-02-09,7,1.66
HM000007,TIENDA007,2025-02-16,8,1.66
HM000007,TIENDA008,2024-12-29,1,1.4
HM000007,TIENDA008,2025-01-05,2,1.39
HM000007,TIENDA008,2025-01-12,3,1.39
HM000007,TIENDA008,2025-01-19,4,1.39
HM000007,TIENDA008,2025-01-26,5,1.39
HM000007,TIENDA008,2025-02-02,6,1.39
HM000007,TIENDA008,2025-02-09,7,1.39
HM000007,TIENDA008,2025-02-16,8,1.39
HM000007,TIENDA009,2024-12-29,1,1.9
HM000007,TIENDA009,2025-01-05,2,1.58
HM000007,TIENDA009,2025-01-12,3,1.64
HM000007,TIENDA009,2025-01-19,4,1.63
HM000007,TIENDA009,2025-01-26,5,1.63
HM000007,TIENDA009,2025-02-02,6,1.63
HM000007,TIENDA009,2025-02-09,7,1.63
HM000007,TIENDA009,2025-02-16,8,1.63
HM000007,TIENDA010,2024-12-29,1,1.44
HM000007,TIENDA010,2025-01-05,2,1.44
HM000007,TIENDA010,2025-01-12,3,1.44
HM000007,TIENDA010,2025-01-19,4,1.44
HM000007,TIENDA010,2025-01-26,5,1.44
